codigo_interno;descricao_do_produto
000681;COXIM AMORT DT
000682;COXIM AMORT DT
000683;KIT ALAVANCA CAIXA FUSCA BRAS.TDS CWB
000684;KIT BARRA ESTAB DT INT
000685;KIT BARRA ESTABILIZADORA DT
000686;KIT BARRA ESTAB DT LD/LE
000687;REPARO ALAVANCA CAMBIO
000688;REPARO ALAVANCA CAMBIO
000689;KIT BARRA ESTABILIZADORA DT
000690;BATENTE/COIFA AMORT DT
000691;KIT BARRA ESTABILIZADORA DT
000692;KIT BARRA ESTABILIZADORA DT
000693;KIT BARRA ESTABILIZADORA DT
000694;BATENTE SUSP DT (FRANGO ASSADO)
000695;KIT BARRA ESTABILIZADORA TS
000696;KIT BARRA ESTABILIZADORA TS
000697;KIT BARRA ESTABILIZADORA TS
000698;INTERRUPTOR TEMPERATURA AR
000699;ANEL CAIXA (ANEL SINCRONIZADO) 3ª/4ª E 5ª
000700;ANEL CAIXA (ANEL SINCRONIZADO) 1ª E 2ª
000701;ANEL CAIXA (ANEL SINCRONIZADO) 1ª/2ª/3ª/4ª
000702;ANEL CAIXA (ANEL SINCRONIZADO) 5ª
000703;FUSIVEL VIDRO 3 AH
000704;ANEL CAIXA (ANEL SINCRONIZADOR) 1ª E 2ª
000705;ANEL CAIXA (ANEL SINCRONIZADO) 5ª
000706;ANEL CAIXA (ANEL SINCRONIZADOR)
000707;FUSIVEL LOUCA VW FUSCA 8 AH
000708;CALOTA CUBO TS
000709;GARFO EMBREAGEM
000710;FLEXIVEL FREIO (DT) POLO CLASSIC 96/ NOR
000711;CANO DAGUA
000712;GARGALO OLEO
000713;POLIA BOMBA DAGUA
000714;CANO DAGUA
000715;CANO DAGUA
000716;REPARO ALAVANCA CAMBIO
000717;GARFO CAIXA 3 E 4
000718;AMORT DT
000719;CUPULA ALAV.FUSCA BRASILIA
000720;POLIA VIRABREQUIM
000721;ANEL CAIXA (ANEL SINCRONIZADO) 1ª E 2ª
000722;GARGALO OLEO
000723;ANTI CHAMA
000724;FUSIVEL VIDRO 15AH
000725;CANO DAGUA
000726;TIRANTE GOL 4 MARCHAS
000727;FLEXIVEL FREIO TS
000728;ANEL VEDACAO VALVULA TERMOSTATICA
000729;FUSIVEL VIDRO 20AH
000730;GARFO CAIXA 5
000731;JUNTA BOMBA DAGUA
000732;ANEL MOTOR CORCEL /83 (MT28) COFAP
000733;REPARO CABO EMBR.MONZA TDS CWB1803
000734;ENGRENAGEM BOMBA DAGUA MONZA TDS
000735;CANO DAGUA
000736;GARFO EMBREAGEM
000737;CABO ACELERADOR
000738;BUCHA TENSOR KIT DIANTEIRO
